IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_1000_N,RATE_PER_1000_NL,RATE_PER_1000_NU
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1971,Total,0 to 27 days,45.885035395,40.404191029,51.935073238
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1977,Total,0 to 27 days,38.582378163,34.164779309,43.401448454
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1970,Total,0 to 27 days,46.769794225,40.961648449,53.106527909
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1976,Total,0 to 27 days,39.92146844,35.168211448,45.118509952
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1981,Total,0 to 27 days,33.990936093,29.959337435,38.359122773
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1969,Total,0 to 27 days,47.476273962,41.369384094,54.239752031
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1975,Total,0 to 27 days,41.26477538,36.382165609,46.713692677
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1980,Total,0 to 27 days,35.04570594,30.988132915,39.517110372
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1967,Total,0 to 27 days,48.442351826,41.519710059,55.813497712
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1968,Total,0 to 27 days,48.047163138,41.513438567,55.162887898
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1974,Total,0 to 27 days,42.64667317,37.67947473,48.026740852
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1966,Total,0 to 27 days,48.704726047,41.221851447,56.699210328
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1979,Total,0 to 27 days,36.138015243,32.036429783,40.72590239
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1965,Total,0 to 27 days,48.9025796,41.009331169,57.222961408
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1973,Total,0 to 27 days,43.892170693,38.802438783,49.317599658
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1963,Total,0 to 27 days,49.474616403,40.4437443,59.258982443
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1964,Total,0 to 27 days,49.152540953,40.837860582,58.0796879
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1972,Total,0 to 27 days,44.98785703,39.752722498,50.632573901
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1978,Total,0 to 27 days,37.302907439,33.075757942,42.046257105
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1982,Total,0 to 27 days,32.904093018,29.112267593,37.0380393
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1993,Total,0 to 27 days,22.616072537,19.829715736,25.580431898
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,2001,Total,0 to 27 days,17.226296923,15.048078995,19.550375379
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1986,Total,0 to 27 days,28.963249908,25.439039125,32.698259251
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1990,Total,0 to 27 days,25.262622424,22.241830781,28.56124332
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1998,Total,0 to 27 days,19.644151505,17.074019441,22.394657736
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1995,Total,0 to 27 days,21.302507132,18.566117465,24.179610902
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,2003,Total,0 to 27 days,15.447985484,13.599390303,17.408858945
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1985,Total,0 to 27 days,29.905892431,26.329681336,33.67661365
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1989,Total,0 to 27 days,26.175528621,23.138049926,29.546884085
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,1992,Total,0 to 27 days,23.46199203,20.599229678,26.506998497
A4C49D3,Mortality rate (neonetal),COUNTRY,076,Brazil,YEAR,2000,Total,0 to 27 days,18.127848726,15.777129058,20.643586653
